uid: 5ef8cc11-23eb-01f1-9d55-30bf9d3d8cb4
version: feedback_first
{ 'docs.google.com': { deltaActiveTime: -8029.805000000006, deltaVisitTimes: -10 },
  'www.davidstea.com': { deltaActiveTime: 5.471, deltaVisitTimes: 1 },
  'www.timeanddate.com': { deltaActiveTime: 28.505, deltaVisitTimes: 1 },
  'days.to': { deltaActiveTime: 7.097, deltaVisitTimes: 1 },
  'www.facebook.com': { deltaActiveTime: 235.3060000000001, deltaVisitTimes: 6 },
  'www.eventbrite.com': { deltaActiveTime: 48.46000000000009, deltaVisitTimes: 1 },
  'docs.angularjs.org': { deltaActiveTime: -175.58100000000002, deltaVisitTimes: 0 },
  'drive.google.com': { deltaActiveTime: -370.5790000000003, deltaVisitTimes: 6 },
  'stackoverflow.com': { deltaActiveTime: -315.41900000000015, deltaVisitTimes: -1 },
  'code.google.com': { deltaActiveTime: 60.269999999999996, deltaVisitTimes: 1 },
  'healthcrew.me': { deltaActiveTime: 49.125, deltaVisitTimes: 1 },
  'betabeat.com': { deltaActiveTime: 176.991, deltaVisitTimes: 1 },
  'www.cs.toronto.edu': { deltaActiveTime: 54.228, deltaVisitTimes: 1 },
  'mail.google.com': { deltaActiveTime: 24694.429000000026, deltaVisitTimes: 2 },
  'www.seamless.com': { deltaActiveTime: 34.631, deltaVisitTimes: 2 },
  'www.citibikenyc.com': { deltaActiveTime: 15.961, deltaVisitTimes: 1 },
  'www.meetup.com': { deltaActiveTime: 2967.5739999999983, deltaVisitTimes: 16 },
  'followup.cc': { deltaActiveTime: 1.477, deltaVisitTimes: 1 },
  'cms.aol.com': { deltaActiveTime: 1512.5810000000004, deltaVisitTimes: -5 },
  'secure.echosign.com': { deltaActiveTime: 454.73300000000006, deltaVisitTimes: 5 },
  'issuevoter.org': { deltaActiveTime: 6714.747, deltaVisitTimes: 16 },
  'en.wikipedia.org': { deltaActiveTime: -727.1609999999998, deltaVisitTimes: 3 },
  'www.youtube.com': { deltaActiveTime: 817.3009999999999, deltaVisitTimes: 5 },
  'gmail.com': { deltaActiveTime: 31.075999999999993, deltaVisitTimes: -1 },
  'webapps.stackexchange.com': { deltaActiveTime: 72.247, deltaVisitTimes: 1 },
  'www.registerforhsia.com': { deltaActiveTime: 91.87299999999999, deltaVisitTimes: 2 },
  'www.huffingtonpost.com': { deltaActiveTime: 179.914, deltaVisitTimes: 3 },
  'www.garysguide.com': { deltaActiveTime: -10.730999999999995, deltaVisitTimes: -1 },
  'blog.acehotel.com': { deltaActiveTime: 65.78300000000002, deltaVisitTimes: 1 },
  'www.hipmunk.com': { deltaActiveTime: 525.954, deltaVisitTimes: 6 },
  'www.hackerschool.com': { deltaActiveTime: 2.617, deltaVisitTimes: 2 },
  '2012.jsconf.eu': { deltaActiveTime: 24.137, deltaVisitTimes: 2 },
  'decodize.com': { deltaActiveTime: -17.311999999999998, deltaVisitTimes: 0 },
  'developer.mozilla.org': { deltaActiveTime: 43.844, deltaVisitTimes: 4 },
  'ti.to': { deltaActiveTime: 69.093, deltaVisitTimes: 3 },
  'www.1stwebdesigner.com': { deltaActiveTime: 9.153999999999996, deltaVisitTimes: 0 },
  'api.jquery.com': { deltaActiveTime: 27.439, deltaVisitTimes: 3 },
  'scotch.io': { deltaActiveTime: -263.86, deltaVisitTimes: 0 },
  'slides.com': { deltaActiveTime: 122.46900000000001, deltaVisitTimes: 1 },
  'www.discussmeetup.com': { deltaActiveTime: 41.666, deltaVisitTimes: 1 },
  'goo.gl': { deltaActiveTime: 54.10099999999999, deltaVisitTimes: 2 },
  'us1.campaign-archive2.com': { deltaActiveTime: 19.223000000000003, deltaVisitTimes: 2 },
  'github.com': { deltaActiveTime: -738.8190000000002, deltaVisitTimes: 1 },
  'www.womenwhocode.com': { deltaActiveTime: 37.094, deltaVisitTimes: 1 },
  'www.paypal.com': { deltaActiveTime: 539.4570000000001, deltaVisitTimes: 3 },
  'generalassemb.ly': { deltaActiveTime: 38.913000000000004, deltaVisitTimes: 2 },
  'groups.google.com': { deltaActiveTime: -9.472000000000014, deltaVisitTimes: 0 },
  'www.hackjersey.com': { deltaActiveTime: 26.136, deltaVisitTimes: 1 },
  'jerseyscript.github.io': { deltaActiveTime: 10.969, deltaVisitTimes: 1 },
  'hellodevs.com': { deltaActiveTime: 9.227, deltaVisitTimes: 1 },
  'steepster.com': { deltaActiveTime: 28.676000000000002, deltaVisitTimes: 1 },
  'systers.submittable.com': { deltaActiveTime: 221.82399999999998, deltaVisitTimes: 1 },
  'www.techsupportalert.com': { deltaActiveTime: 111.479, deltaVisitTimes: 1 },
  'www.uderzo.it': { deltaActiveTime: 15.512, deltaVisitTimes: 1 },
  'www.fosshub.com': { deltaActiveTime: 16.374, deltaVisitTimes: 1 },
  'vimeopro.com': { deltaActiveTime: 43.339999999999996, deltaVisitTimes: 2 },
  'www.rockwellgroup.com': { deltaActiveTime: 35.583000000000006, deltaVisitTimes: 1 },
  'sharkbox.com': { deltaActiveTime: 81.87600000000003, deltaVisitTimes: 3 },
  'www.chromeexperiments.com': { deltaActiveTime: 20.076999999999998, deltaVisitTimes: 1 },
  'www.echelman.com': { deltaActiveTime: 32.844, deltaVisitTimes: 1 },
  'store.apple.com': { deltaActiveTime: -400.6789999999999, deltaVisitTimes: -5 },
  'www.boxoffice.com': { deltaActiveTime: 93.5, deltaVisitTimes: 1 },
  'unroll.me': { deltaActiveTime: -61.08800000000002, deltaVisitTimes: 1 },
